MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS,registration_key,date_reg,type,colour,fuel,state
2014,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359.0,ASTON MARTIN VANQUISH,2025-04-22,motokar,green,petrol,W.P. Kuala Lumpur
2014,AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202.0,AUDI A4,2025-03-06,motokar,silver,petrol,Johor
2014,AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202.0,AUDI A4,2025-03-06,motokar,black,petrol,Pahang
2014,AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258.0,AUDI A8,2025-01-31,motokar,grey,petrol,W.P. Kuala Lumpur
2014,AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258.0,AUDI A8,2025-04-25,motokar,grey,petrol,W.P. Kuala Lumpur
2014,AUDI,A8,MID-SIZE,4.0,8,AS8,Z,13.5,8.6,11.3,25,260.0,AUDI A8,2025-01-31,motokar,grey,petrol,W.P. Kuala Lumpur
2014,AUDI,A8,MID-SIZE,4.0,8,AS8,Z,13.5,8.6,11.3,25,260.0,AUDI A8,2025-04-25,motokar,grey,petrol,W.P. Kuala Lumpur
2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239.0,AUDI Q5,2025-01-16,jip,black,petrol,W.P. Kuala Lumpur
2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239.0,AUDI Q5,2025-01-16,jip,blue,petrol,W.P. Kuala Lumpur
2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239.0,AUDI Q5,2025-01-17,jip,grey,petrol,Rakan Niaga
2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239.0,AUDI Q5,2025-01-23,jip,grey,petrol,W.P. Kuala Lumpur
